State	Trajectory	Frame
0	0	95862
0	0	32477
0	3	88544
0	1	80472
0	0	93080
0	1	29613
0	1	50958
0	3	93669
0	0	13428
0	3	12470
0	3	50789
0	1	24092
0	0	95106
0	0	88281
0	2	17517
0	1	6653
0	0	93335
0	2	3513
0	0	35416
0	1	33098
0	3	59258
0	1	35819
0	1	50156
0	1	32207
0	1	50721
0	2	1205
0	3	51982
0	3	5435
0	0	12637
0	1	48989
1	1	69594
1	2	62763
1	0	55161
1	2	49871
1	1	93501
1	1	66264
1	0	29116
1	1	67660
1	2	44297
1	2	76951
1	3	72250
1	3	18332
1	1	86602
1	1	67649
1	3	37676
1	1	98521
1	2	48159
1	2	47374
1	0	65325
1	1	56059
1	2	78529
1	2	52134
1	0	56788
1	3	67227
1	1	98498
1	0	48144
1	0	54638
1	0	80712
1	2	62317
1	1	73589
